Source;Target;Weight
117;10258;0.0
117;12719;0.0
117;13267;100.0
117;13336;100.0
117;13428;0.0
117;13645;0.0
117;16185;100.0
117;3739;100.0
117;4742;0.0
117;7211;100.0
117;9243;0.0
118;11438;0.0
118;12062;0.0
118;13103;0.0
118;13267;100.0
118;13336;100.0
118;16185;100.0
118;246;0.0
118;3439;0.0
118;3739;100.0
118;4784;0.0
118;7211;100.0
119;10223;100.0
119;13336;100.0
119;13551;0.0
119;15067;0.0
119;15522;10.0
119;15749;0.0
119;16185;100.0
119;1704;10.0
119;3739;100.0
119;7211;100.0
119;770;1.0
119;8577;10.0
119;8916;0.0
120;12644;100.0
120;13267;100.0
120;13336;100.0
120;16185;100.0
120;3739;100.0
120;7211;100.0
121;10223;100.0
121;13336;100.0
121;16185;100.0
121;3739;100.0
121;7211;100.0
122;13267;100.0
122;13336;100.0
122;16185;100.0
122;3739;100.0
122;7211;100.0
123;10073;10.0
123;10223;100.0
123;13336;100.0
123;13834;10.0
123;16185;100.0
123;3739;100.0
123;7211;100.0
124;13267;100.0
124;13336;100.0
124;16185;100.0
124;3739;100.0
124;7211;100.0
125;10223;100.0
125;11323;10.0
125;13336;100.0
125;16185;100.0
125;3739;100.0
125;7211;100.0
126;13267;100.0
126;13336;100.0
126;16185;100.0
126;3739;100.0
126;7211;100.0
127;13336;100.0
127;16185;100.0
127;3739;100.0
127;7211;100.0
129;10223;100.0
129;13336;100.0
129;16185;100.0
129;3739;100.0
129;7211;100.0
130;13267;100.0
130;13336;100.0
130;16185;100.0
130;3739;100.0
130;7211;100.0
131;13267;100.0
131;13336;100.0
131;16185;100.0
131;3739;100.0
131;7211;100.0
131;8933;100.0
132;13336;100.0
132;16185;100.0
132;3739;100.0
132;7211;100.0
133;10223;100.0
133;13336;100.0
133;16185;100.0
133;3739;100.0
133;7211;100.0
134;10601;75.0
134;13175;75.0
134;13230;75.0
134;13267;100.0
134;13279;75.0
134;13336;100.0
134;13411;75.0
134;13834;75.0
134;16185;100.0
134;2104;75.0
134;242;75.0
134;2439;75.0
134;2576;75.0
134;3651;75.0
134;3739;100.0
134;4126;75.0
134;455;75.0
134;5295;75.0
134;7037;75.0
134;7211;100.0
134;7447;75.0
135;10223;100.0
135;13336;100.0
135;15273;75.0
135;16185;100.0
135;3739;100.0
135;7211;100.0
136;10223;100.0
136;13336;100.0
136;14518;100.0
136;16185;100.0
136;16474;100.0
136;3684;0.0
136;3739;100.0
136;7211;100.0
138;10223;100.0
138;12601;100.0
138;13336;100.0
138;16185;100.0
138;3739;100.0
138;7211;100.0
139;13267;100.0
139;13336;100.0
139;16185;100.0
139;3739;100.0
139;7211;100.0
140;10223;100.0
140;13336;100.0
140;16185;100.0
140;3739;100.0
140;5885;0.0
140;7083;0.0
140;7211;100.0
140;8241;75.0
141;10223;100.0
141;13336;100.0
141;16185;100.0
141;3739;100.0
141;7211;100.0
142;13267;100.0
142;13336;100.0
142;16185;100.0
142;3739;100.0
142;7211;100.0
143;10015;0.0
143;1007;0.0
143;10152;0.0
143;10161;0.0
143;10251;0.0
143;10267;0.0
143;10591;0.0
143;1110;0.0
143;11101;0.0
143;11236;0.0
143;11253;0.0
143;11336;0.0
143;11346;0.0
143;1138;0.0
143;11411;0.0
143;11650;0.0
143;11654;0.0
143;11790;0.0
143;12107;0.0
143;12383;0.0
143;12642;0.0
143;13105;0.0
143;13267;100.0
143;13336;100.0
143;13684;0.0
143;13960;0.0
143;14265;0.0
143;1454;0.0
143;14619;0.0
143;14785;0.0
143;14837;0.0
143;14879;0.0
143;15028;0.0
143;1565;0.0
143;15807;0.0
143;15881;0.0
143;16064;0.0
143;16118;0.0
143;16185;100.0
143;16473;0.0
143;16481;0.0
143;1731;0.0
143;1886;0.0
143;1934;0.0
143;2116;0.0
143;2362;0.0
143;2416;0.0
143;258;0.0
143;2780;0.0
143;3124;0.0
143;3162;0.0
143;3170;0.0
143;3199;0.0
143;353;0.0
143;3592;0.0
143;3642;0.0
143;3683;0.0
143;3739;100.0
143;3759;0.0
143;3922;0.0
143;400;0.0
143;4083;0.0
143;4299;0.0
143;430;0.0
143;4323;0.0
143;4325;0.0
143;4784;0.0
143;4841;0.0
143;4851;0.0
143;4874;0.0
143;518;0.0
143;530;0.0
143;5342;0.0
143;5558;0.0
143;5708;0.0
143;5742;0.0
143;5765;0.0
143;5787;0.0
143;6000;0.0
143;6189;0.0
143;6450;0.0
143;6489;0.0
143;6582;0.0
143;697;0.0
143;7211;100.0
143;7554;0.0
143;7580;0.0
143;759;0.0
143;767;0.0
143;7725;0.0
143;7732;0.0
143;7735;0.0
143;7790;0.0
143;7827;0.0
143;7866;0.0
143;7878;0.0
143;8069;0.0
143;822;0.0
143;8372;0.0
143;8389;0.0
143;8978;0.0
143;9262;0.0
143;9379;0.0
143;9682;0.0
143;978;0.0
143;9895;0.0
143;9994;0.0
144;13336;100.0
144;16185;100.0
144;3739;100.0
144;7211;100.0
145;10223;100.0
145;13336;100.0
145;16185;100.0
145;3739;100.0
145;7211;100.0
146;11720;0.0
146;13267;100.0
146;13336;100.0
146;16185;100.0
146;1683;0.0
146;3739;100.0
146;7211;100.0
147;13267;100.0
147;13336;100.0
147;16185;100.0
147;3739;100.0
147;7211;100.0
148;10223;100.0
148;13336;100.0
148;16185;100.0
148;3739;100.0
148;7211;100.0
149;10223;100.0
149;13336;100.0
149;16185;100.0
149;3739;100.0
149;7211;100.0
150;10223;100.0
150;13336;100.0
150;16185;100.0
150;2826;1.0
150;3739;100.0
150;7211;100.0
151;10223;100.0
151;13336;100.0
151;16185;100.0
151;3739;100.0
151;7211;100.0
152;13267;100.0
152;13336;100.0
152;16185;100.0
152;3739;100.0
152;7211;100.0
154;13336;100.0
154;16185;100.0
154;3739;100.0
154;7211;100.0
